width;slope;guild;tidal;indextypecode;method
[4.5,5[;[0,0];stilstaand;FALSE;ZTWA;
[4.5,5[;[0.25,0.33[;brasem;FALSE;ZTWA;
[4.5,5[;[0.33,0.45[;brasem;FALSE;ZTWA;
[4.5,5[;[0.45,0.50[;brasem;FALSE;ZTWA;
[4.5,5[;[0.50,0.60[;brasem;FALSE;ZTWA;
[4.5,5[;[0.60,0.70[;brasem;FALSE;ZTWA;
[4.5,5[;[0.70,1.00[;brasem;FALSE;ZTWA;
[4.5,5[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[4.5,5[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[4.5,5[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[4.5,5[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[4.5,5[;[2.00,2.30[;barbeel;FALSE;ZTWA;
[4.5,5[;[2.30,2.70[;barbeel;FALSE;ZTWA;
[4.5,5[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[5.70,6.00[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[6.00,6.50[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[6.50,7.00[;vlagzalm;FALSE;ZTWA;
[4.5,5[;[7.00, [;forel;FALSE;ZTWA;
[4.5,5[;]0.00,0.25[;brasem;FALSE;ZTWA;
[0,1];]0.00,0.25[;brasem;FALSE;ZTWA;
[0,1];[0.25,0.33[;brasem;FALSE;ZTWA;
[0,1];[0.33,0.45[;brasem;FALSE;ZTWA;
[0,1];[0.45,0.50[;brasem;FALSE;ZTWA;
[0,1];[0.50,0.60[;brasem;FALSE;ZTWA;
[0,1];[0.60,0.70[;brasem;FALSE;ZTWA;
[0,1];[0.70,1.00[;brasem;FALSE;ZTWA;
[0,1];[1.00,1.25[;brasem;FALSE;ZTWA;
[0,1];[1.25,1.50[;barbeel;FALSE;ZTWA;
[0,1];[1.50,1.75[;barbeel;FALSE;ZTWA;
[0,1];[1.75,2.00[;barbeel;FALSE;ZTWA;
[0,1];[2.00,2.30[;barbeel;FALSE;ZTWA;
[0,1];[2.30,2.70[;barbeel;FALSE;ZTWA;
[0,1];[2.70,3.00[;barbeel;FALSE;ZTWA;
]1,4.5[;[0,0];stilstaand;FALSE;ZTWA;
]1,4.5[;]0.00,0.25[;brasem;FALSE;ZTWA;
]1,4.5[;[0.25,0.33[;brasem;FALSE;ZTWA;
]1,4.5[;[0.33,0.45[;brasem;FALSE;ZTWA;
]1,4.5[;[0.45,0.50[;brasem;FALSE;ZTWA;
]1,4.5[;[0.50,0.60[;brasem;FALSE;ZTWA;
]1,4.5[;[0.60,0.70[;brasem;FALSE;ZTWA;
]1,4.5[;[0.70,1.00[;brasem;FALSE;ZTWA;
]1,4.5[;[1.00,1.25[;barbeel;FALSE;ZTWA;
]1,4.5[;[1.25,1.50[;barbeel;FALSE;ZTWA;
]1,4.5[;[1.50,1.75[;barbeel;FALSE;ZTWA;
]1,4.5[;[1.75,2.00[;barbeel;FALSE;ZTWA;
]1,4.5[;[2.00,2.30[;barbeel;FALSE;ZTWA;
]1,4.5[;[2.30,2.70[;barbeel;FALSE;ZTWA;
]1,4.5[;[2.70,3.00[;barbeel;FALSE;ZTWA;
[0,4.5];[3.00, [;upstream;FALSE;ZTWA;
[5,10[;[0,0];stilstaand;FALSE;ZTWA;
[5,10[;]0.00,0.25[;brasem;FALSE;ZTWA;
[5,10[;[0.25,0.33[;brasem;FALSE;ZTWA;
[5,10[;[0.33,0.45[;brasem;FALSE;ZTWA;
[5,10[;[0.45,0.50[;brasem;FALSE;ZTWA;
[5,10[;[0.50,0.60[;brasem;FALSE;ZTWA;
[5,10[;[0.60,0.70[;brasem;FALSE;ZTWA;
[5,10[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[5,10[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[5,10[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[5,10[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[5,10[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[5,10[;[2.00,2.30[;barbeel;FALSE;ZTWA;
[5,10[;[2.30,2.70[;barbeel;FALSE;ZTWA;
[5,10[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[5,10[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[5,10[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[5,10[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[5,10[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[5,10[;[5.70,6.00[;vlagzalm;FALSE;ZTWA;
[5,10[;[6.00,6.50[;vlagzalm;FALSE;ZTWA;
[5,10[;[6.50,7.00[;vlagzalm;FALSE;ZTWA;
[5,10[;[7.00, [;forel;FALSE;ZTWA;
[10,15[;[0,0];stilstaand;FALSE;ZTWA;
[10,15[;]0.00,0.25[;brasem;FALSE;ZTWA;
[10,15[;[0.25,0.33[;brasem;FALSE;ZTWA;
[10,15[;[0.33,0.45[;brasem;FALSE;ZTWA;
[10,15[;[0.45,0.50[;brasem;FALSE;ZTWA;
[10,15[;[0.50,0.60[;brasem;FALSE;ZTWA;
[10,15[;[0.60,0.70[;brasem;FALSE;ZTWA;
[10,15[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[10,15[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[10,15[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[10,15[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[10,15[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[10,15[;[2.00,2.30[;barbeel;FALSE;ZTWA;
[10,15[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[10,15[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[10,15[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[10,15[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[10,15[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[10,15[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[10,15[;[5.70,6.00[;vlagzalm;FALSE;ZTWA;
[10,15[;[6.00,6.50[;vlagzalm;FALSE;ZTWA;
[10,15[;[6.50,7.00[;forel;FALSE;ZTWA;
[10,15[;[7.00, [;forel;FALSE;ZTWA;
[15,20[;[0,0];stilstaand;FALSE;ZTWA;
[15,20[;]0.00,0.25[;brasem;FALSE;ZTWA;
[15,20[;[0.25,0.33[;brasem;FALSE;ZTWA;
[15,20[;[0.33,0.45[;brasem;FALSE;ZTWA;
[15,20[;[0.45,0.50[;brasem;FALSE;ZTWA;
[15,20[;[0.50,0.60[;brasem;FALSE;ZTWA;
[15,20[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[15,20[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[15,20[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[15,20[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[15,20[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[15,20[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[15,20[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[15,20[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[15,20[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[15,20[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[15,20[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[15,20[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[15,20[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[15,20[;[5.70,6.00[;vlagzalm;FALSE;ZTWA;
[15,20[;[6.00,6.50[;forel;FALSE;ZTWA;
[15,20[;[6.50,7.00[;forel;FALSE;ZTWA;
[15,20[;[7.00, [;forel;FALSE;ZTWA;
[20,25[;[0,0];stilstaand;FALSE;ZTWA;
[20,25[;]0.00,0.25[;brasem;FALSE;ZTWA;
[20,25[;[0.25,0.33[;brasem;FALSE;ZTWA;
[20,25[;[0.33,0.45[;brasem;FALSE;ZTWA;
[20,25[;[0.45,0.50[;brasem;FALSE;ZTWA;
[20,25[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[20,25[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[20,25[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[20,25[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[20,25[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[20,25[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[20,25[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[20,25[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[20,25[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[20,25[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[20,25[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[20,25[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.70,6.00[;forel;FALSE;ZTWA;
[20,25[;[6.00,6.50[;forel;FALSE;ZTWA;
[20,25[;[6.50,7.00[;forel;FALSE;ZTWA;
[20,25[;[7.00, [;forel;FALSE;ZTWA;
[25,30[;[0,0];stilstaand;FALSE;ZTWA;
[25,30[;]0.00,0.25[;brasem;FALSE;ZTWA;
[25,30[;[0.25,0.33[;brasem;FALSE;ZTWA;
[25,30[;[0.33,0.45[;brasem;FALSE;ZTWA;
[25,30[;[0.45,0.50[;brasem;FALSE;ZTWA;
[25,30[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[25,30[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[25,30[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[25,30[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[25,30[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[25,30[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[25,30[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[25,30[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[25,30[;[5.50,5.70[;forel;FALSE;ZTWA;
[25,30[;[5.70,6.00[;forel;FALSE;ZTWA;
[25,30[;[6.00,6.50[;forel;FALSE;ZTWA;
[25,30[;[6.50,7.00[;forel;FALSE;ZTWA;
[25,30[;[7.00, [;forel;FALSE;ZTWA;
[30,60[;[0,0];stilstaand;FALSE;ZTWA;
[30,60[;]0.00,0.25[;brasem;FALSE;ZTWA;
[30,60[;[0.25,0.33[;brasem;FALSE;ZTWA;
[30,60[;[0.33,0.45[;brasem;FALSE;ZTWA;
[30,60[;[0.45,0.50[;barbeel;FALSE;ZTWA;
[30,60[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[30,60[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[30,60[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[30,60[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[30,60[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[30,60[;[1.50,1.75[;vlagzalm;FALSE;ZTWA;
[30,60[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[30,60[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[5.00,5.50[;forel;FALSE;ZTWA;
[30,60[;[5.50,5.70[;forel;FALSE;ZTWA;
[30,60[;[5.70,6.00[;forel;FALSE;ZTWA;
[30,60[;[6.00,6.50[;forel;FALSE;ZTWA;
[30,60[;[6.50,7.00[;forel;FALSE;ZTWA;
[30,60[;[7.00, [;forel;FALSE;ZTWA;
[60,100[;[0,0];stilstaand;FALSE;ZTWA;
[60,100[;]0.00,0.25[;brasem;FALSE;ZTWA;
[60,100[;[0.25,0.33[;brasem;FALSE;ZTWA;
[60,100[;[0.33,0.45[;barbeel;FALSE;ZTWA;
[60,100[;[0.45,0.50[;barbeel;FALSE;ZTWA;
[60,100[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[60,100[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[60,100[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[60,100[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[60,100[;[1.25,1.50[;vlagzalm;FALSE;ZTWA;
[60,100[;[1.50,1.75[;vlagzalm;FALSE;ZTWA;
[60,100[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[60,100[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[60,100[;[4.50,5.00[;forel;FALSE;ZTWA;
[60,100[;[5.00,5.50[;forel;FALSE;ZTWA;
[60,100[;[5.50,5.70[;forel;FALSE;ZTWA;
[60,100[;[5.70,6.00[;forel;FALSE;ZTWA;
[60,100[;[6.00,6.50[;forel;FALSE;ZTWA;
[60,100[;[6.50,7.00[;forel;FALSE;ZTWA;
[60,100[;[7.00, [;forel;FALSE;ZTWA;
[100, [;[0,0];stilstaand;FALSE;ZTWA;
[100, [;]0.00,0.25[;brasem;FALSE;ZTWA;
[100, [;[0.25,0.33[;barbeel;FALSE;ZTWA;
[100, [;[0.33,0.45[;barbeel;FALSE;ZTWA;
[100, [;[0.45,0.50[;barbeel;FALSE;ZTWA;
[100, [;[0.50,0.60[;barbeel;FALSE;ZTWA;
[100, [;[0.60,0.70[;barbeel;FALSE;ZTWA;
[100, [;[0.70,1.00[;barbeel;FALSE;ZTWA;
[100, [;[1.00,1.25[;barbeel;FALSE;ZTWA;
[100, [;[1.25,1.50[;barbeel;FALSE;ZTWA;
[100, [;[1.50,1.75[;barbeel;FALSE;ZTWA;
[100, [;[1.75,2.00[;barbeel;FALSE;ZTWA;
[100, [;[2.00,2.30[;barbeel;FALSE;ZTWA;
[100, [;[2.30,2.70[;barbeel;FALSE;ZTWA;
[100, [;[2.70,3.00[;barbeel;FALSE;ZTWA;
[100, [;[3.00,4.50[;barbeel;FALSE;ZTWA;
[100, [;[4.50,5.00[;barbeel;FALSE;ZTWA;
[100, [;[5.00,5.50[;barbeel;FALSE;ZTWA;
[100, [;[5.50,5.70[;barbeel;FALSE;ZTWA;
[100, [;[5.70,6.00[;barbeel;FALSE;ZTWA;
[100, [;[6.00,6.50[;barbeel;FALSE;ZTWA;
[100, [;[6.50,7.00[;barbeel;FALSE;ZTWA;
[100, [;[7.00, [;barbeel;FALSE;ZTWA;
NA;NA;estuarien_Schelde_meso;TRUE;SCHM;
NA;NA;estuarien_Schelde_oligo;TRUE;SCHO;
NA;NA;estuarien_Schelde_zoet;TRUE;SCHZ;
NA;NA;estuarien_zijrivieren_zoet;TRUE;ZTWZ;
NA;NA;estuarien_IJzer;TRUE;YZRP;
NA;NA;canals_fyke;FALSE;CANA;F
NA;NA;canals_electric;FALSE;CANA;E
NA;NA;lakes_fyke;FALSE;ENCL;F
NA;NA;lakes_electric;FALSE;ENCL;E
